Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definition (Data Dictionary)   Connect2.0,Manageable from the UI,Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[UnitFileId],[int],NO,Yes,No,,"IDENTITY(1,1)",,,,,,,label:Unit File,Unit File Id,
[AffiliateId],[int],NO,No,NO,Affiliate(AffiliateId),,2023,,,,,,,Affiliate ID,belongsTo
[FileName],[varchar](max) ,No,No,No,,,,,,,,,default:0,FileName,
[FileType],[varchar](20) ,No,No,No,,,,,,,,,,FileType,
[FileSize],[varchar](20) ,No,No,No,,,,,,,,,,FileSize,
[FileDescription],[varchar](max) ,No,No,No,,,,,,,,,,FileDescription,
,,,,,,,,,,,,,,
SQL,,,,,,,,,,,,,,
