Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definition (Data Dictionary)   Connect2.0,Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[UnitTypeId],[int],No,YES,No,,"IDENTITY (1,1)",,,,,,label:Unit Type,Unit Type ID,
[UnitTypeName],[varchar](50),No,No,Yes,,,,,,,,,Unit Type Name,
,,,,,,,,,,,,,,
SQL,,,,,,,,,,,,,,
