Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definition (Data Dictionary)   Connect2.0,Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[EntityTypeId],[int],NO,Yes,No,,"IDENTITY(1,1)",,,,,N,label:Entity Type,Entity Type ID,
[EntityTypeName],[varchar](200),No,no,Yes,,,,,,,N,default:0,Entity Type Name,
[DisplayOrder],[int],Yes,no,no,,,,,,,N,,Display Order,
,,,,,,,,,,,,,
SQL,"select distinct 
[EntityTypeId]=id,
[EntityTypeName]=name,
[DisplayOrder]=display_order
from entity_type",,,,,,,,,,,,
